"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Filter:FN406B-8.4-02","FN406B-8.4-02","Filter:Filter_Schaffner_FN406","8.4A ultra compact EMI Filter, medical version","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:LTC1063xN8","LTC1063xN8","Package_DIP:DIP-8_W7.62mm","5th-Order Active Low Pass Filter, 0.0003 to 50kHz, Butterworth Response, Clock Tunable, 100:1 Clock to Cutoff Frequency, Low DC offset, 8V Max dual supply, DIP-8","Analog-Devices","DIP*W7.62mm*","https://www.analog.com/en/ltc1063/datasheet"
"Filter:LTC1063xSW","LTC1063xSW","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","5th-Order Active Low Pass Filter, 0.0003 to 50kHz, Butterworth Response, Clock Tunable, 100:1 Clock to Cutoff Frequency, Low DC offset, 8V Max dual supply, SOIC-16","Analog-Devices","SOIC*7.5x10.3mm*P1.27mm*","https://www.analog.com/en/ltc1063/datasheet"
"Filter:LTC1065xN8","LTC1065xN8","Package_DIP:DIP-8_W7.62mm","5th-Order Active Low Pass Filter, 0.0003 to 50kHz, Bessel Response, Clock Tunable, 100:1 Clock to Cutoff Frequency, Low DC offset, 8V Max dual supply, DIP-8","Analog-Devices","DIP*W7.62mm*","https://www.analog.com/media/en/technical-documentation/data-sheets/1065fb.pdf"
"Filter:LTC1065xSW","LTC1065xSW","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","5th-Order Active Low Pass Filter, 0.0003 to 50kHz, Bessel Response, Clock Tunable, 100:1 Clock to Cutoff Frequency, Low DC offset, 8V Max dual supply, SOIC-16","Analog-Devices","SOIC*7.5x10.3mm*P1.27mm*","https://www.analog.com/media/en/technical-documentation/data-sheets/1065fb.pdf"
"Filter:LTC1562xG-2","LTC1562xG-2","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","Active RC Quad Universal Filter, 20kHz to 300kHz, Low Noise, Low Distortion, SSOP-20","filter opamp quad","SSOP*5.3x7.2mm*P0.65mm*","https://www.analog.com/media/en/technical-documentation/data-sheets/15622fa.pdf"
"Filter:LTC1562xxG","LTC1562xxG","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","Active RC Quad Universal Filter, 10kHz to 150kHz, Low Noise, Low Distortion, SSOP-20","filter opamp quad","SSOP*5.3x7.2mm*P0.65mm*","https://www.analog.com/media/en/technical-documentation/data-sheets/1562fa.pdf"
"Filter:MAX7400xPA","MAX7400xPA","Package_DIP:DIP-8_W7.62mm","8th-Order Active Low Pass Filter, 0.001 to 10kHz, Elliptic Response, 1.5 Transition Ratio, Clock Tunable, 100:1 Clock to Cutoff Frequency, 5V Max supply, DIP-8","Analog-Devices","DIP*W7.62mm*","https://www.analog.com/en/max7400/datasheet"
"Filter:MAX7400xSA","MAX7400xSA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","8th-Order Active Low Pass Filter, 0.001 to 10kHz, Elliptic Response, 1.5 Transition Ratio, Clock Tunable, 100:1 Clock to Cutoff Frequency, 5V Max supply, SOIC-8","Analog-Devices","SOIC*3.9x4.9mm*P1.27mm*","https://www.analog.com/en/max7400/datasheet"
"Filter:MAX7401xPA","MAX7401xPA","Package_DIP:DIP-8_W7.62mm","8th-Order Active Low Pass Filter, 0.001 to 5kHz, Bessel Response, Clock Tunable, 100:1 Clock to Cutoff Frequency, 5V Max supply, DIP-8","Analog-Devices","DIP*W7.62mm*","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX7401-MAX7405.pdf"
"Filter:MAX7401xSA","MAX7401xSA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","8th-Order Active Low Pass Filter, 0.001 to 5kHz, Bessel Response, Clock Tunable, 100:1 Clock to Cutoff Frequency, 5V Max supply, SOIC-8","Analog-Devices","SOIC*3.9x4.9mm*P1.27mm*","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX7401-MAX7405.pdf"
"Filter:MAX7403xPA","MAX7403xPA","Package_DIP:DIP-8_W7.62mm","8th-Order Active Low Pass Filter, 0.001 to 10kHz, Elliptic Response, 1.2 Transition Ratio, Clock Tunable, 100:1 Clock to Cutoff Frequency, 5V Max supply, DIP-8","Analog-Devices","DIP*W7.62mm*","https://www.analog.com/en/max7400/datasheet"
"Filter:MAX7403xSA","MAX7403xSA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","8th-Order Active Low Pass Filter, 0.001 to 10kHz, Elliptic Response, 1.2 Transition Ratio, Clock Tunable, 100:1 Clock to Cutoff Frequency, 5V Max supply, SOIC-8","Analog-Devices","SOIC*3.9x4.9mm*P1.27mm*","https://www.analog.com/en/max7400/datasheet"
"Filter:MAX7404xPA","MAX7404xPA","Package_DIP:DIP-8_W7.62mm","8th-Order Active Low Pass Filter, 0.001 to 10kHz, Elliptic Response, 1.5 Transition Ratio, Clock Tunable, 100:1 Clock to Cutoff Frequency, 3V Max supply, DIP-8","Analog-Devices","DIP*W7.62mm*","https://www.analog.com/en/max7400/datasheet"
"Filter:MAX7404xSA","MAX7404xSA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","8th-Order Active Low Pass Filter, 0.001 to 10kHz, Elliptic Response, 1.5 Transition Ratio, Clock Tunable, 100:1 Clock to Cutoff Frequency, 3V Max supply, SOIC-8","Analog-Devices","SOIC*3.9x4.9mm*P1.27mm*","https://www.analog.com/en/max7400/datasheet"
