"Database_Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Relay_SolidState:AQH1223","AQH1223","Package_DIP:DIP-8-N7_W7.62mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 600mA, DIP-7","Opto-Triac Opto Triac Random Phase","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH1223A","AQH1223A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 600mA, SOIC-7","Opto-Triac Opto Triac Random Phase","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH2213","AQH2213","Package_DIP:DIP-8-N7_W7.62mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 900mA, DIP-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH2213A","AQH2213A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 900mA, SOIC-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH2223","AQH2223","Package_DIP:DIP-8-N7_W7.62mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 900mA, DIP-7","Opto-Triac Opto Triac Random Phase","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH2223A","AQH2223A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 900mA, SOIC-7","Opto-Triac Opto Triac Random Phase","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH3213","AQH3213","Package_DIP:DIP-8-N7_W7.62mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 1.2A, DIP-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH3213A","AQH3213A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 1.2A, SOIC-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH3223","AQH3223","Package_DIP:DIP-8-N7_W7.62mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 1.2A, DIP-7","Opto-Triac Opto Triac Random Phase","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH3223A","AQH3223A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 1.2A, SOIC-7","Opto-Triac Opto Triac Random Phase","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:ASSR-1218","ASSR-1218","Package_SO:SO-4_4.4x4.3mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 60V, 0.2A, 10Ohm, SO-4","MOSFET Output Photorelay 1-Form-A","SO*4.4x4.3mm*P2.54mm*","https://docs.broadcom.com/docs/AV02-0173EN"
