Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Transistor_BJT:MUN5213DW1,MUN5213DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Dual NPN Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 47kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc144ed-d.pdf
Transistor_BJT:MUN5214DW1,MUN5214DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Dual NPN Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 10kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc114yd-d.pdf
Transistor_BJT:MUN5311DW1,MUN5311DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 10kohms, R2 = 10kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc114ep-d.pdf
Transistor_BJT:MUN5312DW1,MUN5312DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 22kohms, R2 = 22kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc124ep-d.pdf
Transistor_BJT:MUN5313DW1,MUN5313DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 47kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc144ep-d.pdf
Transistor_BJT:MUN5314DW1,MUN5314DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 10kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc114yp-d.pdf
Transistor_BJT:MUN5330DW1,MUN5330DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 10V, R1 = 1kohms, R2 = 1kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc113ep-d.pdf
Transistor_BJT:MUN5331DW1,MUN5331DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 12V, R1 = 2.2kohms, R2 = 2.2kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc123ep-d.pdf
Transistor_BJT:MUN5332DW1,MUN5332DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 30V, R1 = 4.7kohms, R2 = 4.7kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc143ep-d.pdf
Transistor_BJT:MUN5333DW1,MUN5333DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 30V, R1 = 4.7kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc143zp-d.pdf
Transistor_BJT:MUN5334DW1,MUN5334DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 22kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc124xp-d.pdf
Transistor_BJT:MUN5335DW1,MUN5335DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 12V, R1 = 2.2kohms, R2 = 47kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc123jp-d.pdf
Transistor_BJT:MUN5336DW1,MUN5336DW1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"Complementary Bias Resistor Transistors, Ic 100mA, Vce 50V, Vin(fwd) 40V, R1 = 100kohms, R2 = 100kohms, SOT-363",BRT Digital Transistor NPN PNP,SOT*363*,https://www.onsemi.com/download/data-sheet/pdf/dtc115ep-d.pdf
Transistor_BJT:PBSS301PZ,PBSS301PZ,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"-5.7A Ic, -12V Vce, Small Signal PNP Transistor, SOT-223",PNP Transistor,SOT?223*,https://assets.nexperia.com/documents/data-sheet/PBSS301PZ.pdf
